#,TCGA ID,,,
137,TCGA-IB-7889-01A-11D-2157-05,,,
138,TCGA-IB-7890-01A-12D-2202-05,,,
139,TCGA-IB-7891-01A-11D-2202-05,,,
140,TCGA-IB-7893-01A-11D-2202-05,,,
141,TCGA-IB-7897-01A-21D-2202-05,,,
142,TCGA-IB-8126-01A-11D-2399-05,,,
143,TCGA-IB-8127-01A-11D-2399-05,,,
144,TCGA-IB-A5SO-01A-11D-A32S-05,,,
145,TCGA-IB-A5SP-01A-11D-A32S-05,,,
146,TCGA-IB-A5SQ-01A-11D-A32S-05,,,
147,TCGA-IB-A5SS-01A-11D-A32S-05,,,
148,TCGA-IB-A5ST-01A-11D-A32S-05,,,
149,TCGA-IB-A6UF-01A-23D-A33U-05,,,
150,TCGA-IB-A6UG-01A-32D-A33U-05,,,
151,TCGA-IB-A7LX-01A-12D-A368-05,,,
152,TCGA-IB-A7M4-01A-11D-A368-05,,,
153,TCGA-IB-AAUM-01A-11D-A378-05,,,
154,TCGA-IB-AAUN-01A-12D-A38H-05,,,
155,TCGA-IB-AAUO-01A-12D-A38H-05,,,
156,TCGA-IB-AAUP-01A-11D-A378-05,,,
157,TCGA-IB-AAUQ-01A-22D-A40Y-05,,,
158,TCGA-IB-AAUR-01A-21D-A38H-05,,,
159,TCGA-IB-AAUS-01A-12D-A38H-05,,,
160,TCGA-IB-AAUT-01A-11D-A378-05,,,
161,TCGA-IB-AAUU-01A-11D-A378-05,,,
162,TCGA-IB-AAUV-01A-11D-A38H-05,,,
163,TCGA-IB-AAUW-01A-12D-A38H-05,,,
164,TCGA-L1-A7W4-01A-12D-A368-05,,,
165,TCGA-LB-A7SX-01A-11D-A33U-05,,,
166,TCGA-LB-A8F3-01A-11D-A368-05,,,
167,TCGA-LB-A9Q5-01A-11D-A398-05,,,
168,TCGA-M8-A5N4-01A-11D-A26Q-05,,,
169,TCGA-OE-A75W-01A-12D-A32S-05,,,
170,TCGA-PZ-A5RE-01A-11D-A32S-05,,,
171,TCGA-Q3-A5QY-01A-12D-A32S-05,,,
172,TCGA-Q3-AA2A-01A-11D-A378-05,,,
173,TCGA-RB-A7B8-01A-12D-A33U-05,,,
174,TCGA-RB-AA9M-01A-11D-A398-05,,,
175,TCGA-RL-AAAS-01A-32D-A398-05,,,
176,TCGA-S4-A8RM-01A-11D-A378-05,,,
177,TCGA-S4-A8RO-01A-12D-A378-05,,,
178,TCGA-S4-A8RP-01A-11D-A368-05,,,
179,TCGA-US-A774-01A-21D-A32S-05,,,
180,TCGA-US-A776-01A-13D-A33U-05,,,
181,TCGA-US-A779-01A-11D-A32S-05,,,
182,TCGA-US-A77E-01A-11D-A32S-05,,,
183,TCGA-US-A77G-01A-11D-A32S-05,,,
184,TCGA-US-A77J-01A-11D-A32S-05,,,
185,TCGA-XD-AAUG-01A-61D-A40Y-05,,,
186,TCGA-XD-AAUH-01A-42D-A40Y-05,,,
187,TCGA-XD-AAUI-01A-42D-A40Y-05,,,
188,TCGA-XD-AAUL-01A-21D-A398-05,,,
189,TCGA-XN-A8T3-01A-11D-A368-05,,,
190,TCGA-XN-A8T5-01A-12D-A368-05,,,
191,TCGA-YB-A89D-01A-12D-A368-05,,,
192,TCGA-YB-A89D-11A-11D-A368-05,,,
193,TCGA-YH-A8SY-01A-11D-A378-05,,,
194,TCGA-YY-A8LH-01A-11D-A368-05,,,
195,TCGA-Z5-AAPL-01A-12D-A40Y-05,,,
